DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,working_age_pop,Houses,CPI,UNRATE,EmpRate,Cons_Material,FEDFUNDS,urban_pop_us,Num_Households,median_income,Subsidy,old_age_pop
2014-01-01,161.927,2014,1,56345,202492935,5.1,235.288,6.6,67.71190045,211.7,0.07,81.5,123229,64900,33.806,14.1
2014-02-01,162.525,2014,2,56552.66667,202561429.5,5.3,235.547,6.7,67.6848878,212.7,0.07,81.5,123229,64900,33.806,14.1
2014-03-01,163.086,2014,3,56760.33333,202694172.2,5.6,236.028,6.7,67.91847972,213.4,0.08,81.5,123229,64900,33.806,14.1
2014-04-01,163.393,2014,4,56968,202799124.5,5.7,236.468,6.2,67.93561925,213.6,0.09,81.5,123229,64900,33.806,14.1
2014-05-01,163.66,2014,5,57157.33333,202922484.2,5.2,236.918,6.3,68.02769763,214.3,0.09,81.5,123229,64900,33.806,14.1
2014-06-01,164.064,2014,6,57346.66667,203092828.1,5.7,237.231,6.1,68.15557853,214.5,0.1,81.5,123229,64900,33.806,14.1
2014-07-01,164.579,2014,7,57536,203115985.4,6.2,237.498,6.2,68.17172443,214.8,0.09,81.5,123229,64900,33.806,14.1
2014-08-01,165.215,2014,8,57591.33333,203210145.5,5.4,237.46,6.1,68.22694656,215.5,0.09,81.5,123229,64900,33.806,14.1
2014-09-01,165.905,2014,9,57646.66667,203260317.1,5.4,237.477,5.9,68.28184424,215.7,0.09,81.5,123229,64900,33.806,14.1
2014-10-01,166.641,2014,10,57702,203281628,5.3,237.43,5.7,68.58085588,215.9,0.09,81.5,123229,64900,33.806,14.1
2014-11-01,167.335,2014,11,57841.66667,203370716.2,5.7,236.983,5.8,68.52013653,215.8,0.09,81.5,123229,64900,33.806,14.1
2014-12-01,168.051,2014,12,57981.33333,203424863.2,5.1,236.252,5.6,68.4830259,215.5,0.12,81.5,123229,64900,33.806,14.1
2015-01-01,168.634,2015,1,58121,203881341.4,4.8,234.747,5.7,68.54453699,215.8,0.11,81.7,124587,68410,34.859,14.3
2015-02-01,169.129,2015,2,58206,203936974,4.5,235.342,5.5,68.5362038,215.3,0.11,81.7,124587,68410,34.859,14.3
2015-03-01,169.799,2015,3,58291,204002384.3,5.1,235.976,5.4,68.42922291,215,0.11,81.7,124587,68410,34.859,14.3
2015-04-01,170.298,2015,4,58376,204016820.7,4.9,236.222,5.4,68.6835161,214.5,0.12,81.7,124587,68410,34.859,14.3
2015-05-01,170.88,2015,5,58412.66667,204232027.9,5,237.001,5.6,68.79807526,213.7,0.12,81.7,124587,68410,34.859,14.3
2015-06-01,171.471,2015,6,58449.33333,204417687.6,5.4,237.657,5.3,68.68683575,213.7,0.13,81.7,124587,68410,34.859,14.3
2015-07-01,172.133,2015,7,58486,204506449.4,5.2,238.034,5.2,68.63669015,213.7,0.13,81.7,124587,68410,34.859,14.3
2015-08-01,172.936,2015,8,58480.66667,204557902.8,5,238.033,5.1,68.7580949,213.3,0.14,81.7,124587,68410,34.859,14.3
